Código;Ubicación;Alineamiento
SRR2157935;EE.UU;90.75
SRR2157936;EE.UU;95.43
SRR2157937;EE.UU;97.11
SRR2157941;EE.UU;93.74
SRR2157951;EE.UU;89.51
SRR2157953;EE.UU;91.71
SRR2157959;EE.UU;90.76
SRR2157960;EE.UU;91.87
SRR2157962;EE.UU;94.26
SRR2163120;EE.UU;71.92
SRR2163121;EE.UU;76.03
SRR2163122;EE.UU;82.26
SRR2163174;EE.UU;84.71
SRR2163177;EE.UU;67.97
SRR2163178;EE.UU;69.14
SRR2163179;EE.UU;69.95
SRR2163180;EE.UU;69.09
SRR2163181;EE.UU;60.06
SRR2163182;EE.UU;71.63
SRR2163184;EE.UU;73.45
SRR2163209;EE.UU;82.13
SRR2163210;EE.UU;85.33
SRR2163212;EE.UU;79.99
SRR2163213;EE.UU;95.99
SRR2163214;EE.UU;91.59
SRR2163224;EE.UU;94.57
SRR2163225;EE.UU;89.98
SRR2163226;EE.UU;95.35
SRR2163227;EE.UU;89.70
SRR2163228;EE.UU;91.88
SRR5115489;Kenya;99.13
SRR5115490;Kenya;95.94
SRR5115494;Kenya;98.72
SRR5115495;Kenya;99.02
SRR5115496;Kenya;99.03
SRR5115498;Kenya;98.83
SRR5115500;Kenya;93.26
SRR5115501;Kenya;98.43
SRR5115503;Kenya;99.25
SRR5115506;Kenya;99.26
SRR5115507;Kenya;98.95
SRR5115509;Kenya;99.01
SRR5115510;Kenya;96.44
SRR5115511;Kenya;99.29
SRR5115512;Kenya;99.34
SRR5115513;Kenya;99.38
SRR5115514;Kenya;99.01
SRR5115515;Kenya;98.54
SRR5115516;Kenya;98.92
SRR5115517;Kenya;99.31
SRR5115518;Kenya;98.18
SRR5115519;Kenya;99.42
SRR5115520;Kenya;99.23
SRR5115521;Kenya;99.22
SRR5115522;Kenya;97.70
SRR5115523;Kenya;99.43
SRR5115524;Kenya;99.03
SRR5115525;Kenya;99.02
SRR5115527;Kenya;99.12
SRR11471412;EE.UU;99.53
SRR11471431;Argentina;99.65
SRR11471440;Argentina;99.62
SRR11471445;Argentina;99.73
SRR11471450;Argentina;99.67
SRR11471465;Argentina;99.64
SRR11471470;Argentina;99.66
SRR11471501;Argentina;99.65
SRR11471506;Argentina;99.66
SRR11471525;Argentina;99.62
SRR11471539;Argentina;99.66
SRR11471541;Argentina;99.51
SRR11471555;Argentina;99.73
SRR11471558;Argentina;99.54
SRR11471559;Argentina;99.74
SRR11471560;Argentina;99.73
SRR11471561;Argentina;99.66
SRR11471562;Argentina;99.72
SRR11471585;EE.UU;99.72
SRR11471586;EE.UU;87.46
SRR11471587;EE.UU;99.62
SRR11471588;EE.UU;99.69
SRR11471589;EE.UU;99.69
SRR11471593;Argentina;97.47
SRR11471597;EE.UU;99.70
SRR11471609;EE.UU;99.23
SRR11471624;EE.UU;99.58
SRR11471645;EE.UU;99.60
SRR11471647;EE.UU;99.71
SRR11471660;EE.UU;99.66
