Gene;Fases
CYP6AQ1;Fase I
Cyp314a1;Fase I
Cyp4g11;Fase I
Cyp6as5;Fase I
Est-6;Fase I
GstD1;Fase II
GstS1;Fase II
GstS4;Fase II
Gstcd;Fase II
Jhe;Fase I
LOC100577140;Fase II
LOC100577763;Fase I
LOC100577883;Fase I
LOC113219221;Fase I
LOC406105;Fase I
LOC408395;Fase I
LOC408398;Fase I
LOC408447;Fase I
LOC408452;Fase I
LOC408453;Fase I
LOC408788;Fase II
LOC409171;Fase I
LOC409173;Fase I
LOC409203;Fase II
LOC409666;Fase III
LOC409897;Fase III
LOC410187;Fase I
LOC410269;Fase III
LOC410405;Fase I
LOC410492;Fase I
LOC410495;Fase I
LOC410552;Fase III
LOC410779;Fase I
LOC410837;Fase II
LOC410944;Fase III
LOC410967;Fase III
LOC411021;Fase II
LOC411223;Fase I
LOC411298;Fase II
LOC411685;Fase III
LOC411893;Fase I
LOC411997;Fase III
LOC412203;Fase III
LOC412209;Fase I
LOC412748;Fase III
LOC412749;Fase III
LOC412936;Fase I
LOC413043;Fase II
LOC413047;Fase I
LOC413083;Fase I
LOC413247;Fase I
LOC413252;Fase III
LOC413260;Fase I
LOC413390;Fase III
LOC413652;Fase III
LOC413730;Fase I
LOC413833;Fase I
LOC413844;Fase III
LOC413908;Fase I
LOC413947;Fase III
LOC413959;Fase III
LOC414029;Fase III
LOC414051;Fase III
LOC550918;Fase III
LOC550941;Fase III
LOC551028;Fase I
LOC551061;Fase III
LOC551179;Fase I
LOC551197;Fase I
LOC551560;Fase I
LOC551632;Fase I
LOC552229;Fase I
LOC552283;Fase II
LOC552314;Fase II
LOC552371;Fase III
LOC552418;Fase I
LOC552433;Fase III
LOC552495;Fase III
LOC552679;Fase I
LOC552744;Fase III
LOC724175;Fase I
LOC724211;Fase I
LOC724304;Fase III
LOC724358;Fase I
LOC724860;Fase I
LOC724865;Fase III
LOC724946;Fase I
LOC725051;Fase III
LOC725087;Fase I
LOC725106;Fase II
LOC725159;Fase I
LOC725335;Fase I
LOC725621;Fase I
LOC725926;Fase I
LOC725942;Fase II
LOC725993;Fase III
LOC725997;Fase II
LOC726134;Fase I
LOC726508;Fase III
LOC726513;Fase III
LOC726646;Fase I
LOC726690;Fase I
LOC726823;Fase II
LOC726867;Fase III
LOC726941;Fase III
LOC726944;Fase III
LOC727118;Fase I
LOC727290;Fase I
LOC727593;Fase II
NLG-3;Fase I
NLG-4;Fase I
NLG-5;Fase I
LOC551167;Fase III
LOC726853;Fase III
LOC410829;Fase III
LOC412217;Fase III
LOC551235;Fase III
LOC112939925;Fase I
