Código;Ubicación;Cobertura;
SRR2157935;EE.UU;35,3818;
SRR2157936;EE.UU;24,0711;
SRR2157937;EE.UU;22,741;
SRR2157941;EE.UU;28,9556;
SRR2157953;EE.UU;18,2509;
SRR2157959;EE.UU;21,8784;
SRR2157960;EE.UU;19,2892;
SRR2157962;EE.UU;20,84;
SRR2163120;EE.UU;31,2958;
SRR2163121;EE.UU;32,8735;
SRR2163122;EE.UU;17,3281;
SRR2163174;EE.UU;17,6156;
SRR2163184;EE.UU;10,7103;
SRR2163210;EE.UU;23,079;
SRR2163212;EE.UU;17,1406;
SRR2163213;EE.UU;18,2958;
SRR2163214;EE.UU;17,9877;
SRR2163224;EE.UU;18,0645;
SRR2163225;EE.UU;16,9807;
SRR2163226;EE.UU;16,8647;
SRR11471586;EE.UU;10,1067;
SRR11471588;EE.UU;10,7667;
SRR2163228;EE.UU;13,7288;
SRR5115489;Kenya;18,3963;
SRR5115490;Kenya;17,7954;
SRR5115494;Kenya;13,583;
SRR5115495;Kenya;18,0769;
SRR5115496;Kenya;17,4169;
SRR5115498;Kenya;15,538;
SRR5115500;Kenya;14,8341;
SRR5115501;Kenya;12,9492;
SRR5115503;Kenya;13,683;
SRR5115506;Kenya;15,9026;
SRR5115507;Kenya;15,9848;
SRR5115509;Kenya;12,5676;
SRR5115510;Kenya;10,2895;
SRR5115511;Kenya;11,5432;
SRR5115512;Kenya;11,0823;
SRR5115513;Kenya;16,5935;
SRR5115515;Kenya;16,4337;
SRR5115516;Kenya;12,7217;
SRR5115517;Kenya;14,724;
SRR5115518;Kenya;20,0139;
SRR5115519;Kenya;21,6902;
SRR5115520;Kenya;12,9578;
SRR5115521;Kenya;15,2303;
SRR5115523;Kenya;12,5279;
SRR5115524;Kenya;13,4777;
SRR5115525;Kenya;13,2537;
SRR5115527;Kenya;11,9575;
SRR11471560;Argentina;10,9821;
SRR11471562;Argentina;16,0925;
;;;
;;;
